accel_x,accel_y,accel_z,encoder_a,encoder_b
-1.97,-9.57,0.88,4647,8408
-7.20,-5.93,3.07,6352,7294
-8.62,1.91,-4.46,9684,5608
3.33,-1.37,-9.14,13384,4131
9.82,0.39,0.07,125,2135
-7.83,5.96,0.16,6320,587
-7.83,5.95,0.16,6322,586
-7.83,5.96,0.16,6323,586
-7.82,5.96,0.16,6323,586
-7.83,5.96,0.16,6322,586
-7.83,5.96,0.16,6323,587
-7.82,5.95,0.16,6322,587
-7.82,5.96,0.16,6320,587
-7.82,5.96,0.16,6322,587
-7.83,5.96,0.16,6322,587
-7.83,5.96,0.16,6321,587
-7.82,5.96,0.16,6322,587
-7.83,5.95,0.16,6324,587
-7.83,5.96,0.16,6322,587
-7.83,5.96,0.16,6320,586
-7.83,5.96,0.16,6324,586
-7.83,5.96,0.16,6323,583
-7.83,5.96,0.16,6321,583
-7.83,5.96,0.16,6322,583
-7.82,5.96,0.16,6323,583
-7.82,5.96,0.16,6323,583
-7.82,5.96,0.16,6322,583
-7.83,5.96,0.16,6321,583
-7.83,5.96,0.16,6322,583
-7.83,5.96,0.15,6323,583
-7.83,5.96,0.16,6324,583
-7.83,5.96,0.16,6324,583
-7.83,5.96,0.16,6323,583
