accel_x,accel_y,accel_z,encoder_a,encoder_b
-4.56,-8.35,0.93,5355,7033
1.37,-8.68,-4.22,3610,8619
9.31,0.10,-3.92,732,11442
8.23,-4.66,3.04,14531,14287
0.55,-8.13,-5.36,12155,847
-8.01,-0.20,-5.50,9490,3362
-8.37,-4.04,2.09,6707,6139
-0.40,-8.91,-3.84,4163,8489
7.46,-0.97,-6.67,1741,11214
9.90,-1.51,0.96,15606,14491
4.39,-7.45,-4.70,13244,846
-1.47,2.49,-9.50,11758,4218
-7.47,6.14,0.60,9829,7928
-9.27,0.08,2.30,8655,11532
-9.15,2.91,-1.14,7136,14936
-7.58,2.48,5.33,6326,2399
-3.02,-7.23,5.49,4914,5882
1.97,-8.09,-5.14,3612,8993
4.05,3.25,-8.60,2934,12757
5.43,7.86,3.03,2525,590
8.57,-0.79,5.10,1428,4170
10.05,-0.88,-0.16,224,7644
9.99,0.65,1.30,15911,11416
8.10,-5.43,1.88,14518,15022
2.95,-5.98,-7.25,12944,1763
-0.96,6.64,-7.37,11974,5527
-5.74,5.87,5.08,10521,9556
-8.28,-2.26,4.14,9407,13026
-9.37,-1.93,-0.48,8511,186
-9.58,-0.14,0.22,7886,3877
-7.76,-5.52,0.65,6441,7413
-5.22,-3.09,-7.65,5479,10867
-2.63,8.45,-4.48,4666,14752
0.72,4.75,8.55,3884,2431
3.08,-7.13,5.86,3315,5975
4.70,-6.78,-5.42,2833,9431
3.97,4.73,-7.95,2981,13225
3.14,7.93,5.09,3209,1331
4.49,-3.77,7.87,2954,5030
2.43,-9.27,-1.71,3625,8452
-3.60,-1.67,-8.99,5293,11604
-9.21,2.51,-1.38,7514,15020
-7.33,-5.28,-3.31,10136,1198
3.31,-2.68,-8.98,13365,3004
9.73,-0.18,2.57,951,4217
-0.88,-2.33,9.35,4584,4310
-9.50,0.13,1.16,7948,3013
-3.48,-7.34,-5.30,11405,1060
8.65,-4.92,-0.67,15047,16198
7.18,6.74,-2.31,2200,14914
-4.20,3.64,-8.18,5459,12740
-9.56,-0.36,-0.66,8109,10479
-7.68,5.92,-0.11,9905,7412
-3.99,0.01,-9.01,11133,3325
0.71,-9.51,-1.77,12369,16130
6.11,-3.93,6.66,13930,13073
8.10,4.63,3.79,14679,9404
8.78,3.62,-3.58,15039,5359
9.83,-1.22,-1.91,15700,1526
9.73,2.56,-1.18,610,14499
7.70,-1.57,-6.26,1892,10637
3.54,-9.06,0.46,3311,7225
-5.13,-4.09,6.94,5744,4750
-9.48,-0.70,-1.39,8674,2251
-3.20,-9.00,-1.02,11457,15967
8.25,-4.65,2.99,14844,14277
8.98,0.46,-4.60,1315,11579
-0.74,-7.42,-6.29,4433,9243
-9.21,-2.53,-0.23,7549,7638
-5.92,5.65,-5.46,10648,5527
6.72,1.49,-7.36,14422,3856
8.50,0.61,5.27,1721,3305
-3.37,2.84,8.59,5217,2587
-9.40,-1.62,-1.03,8773,794
0.62,-9.34,-2.59,12505,16349
10.07,-0.53,-0.01,16257,15453
2.13,9.24,-3.17,3631,14856
-9.11,2.66,-1.82,7343,14255
-4.95,-4.75,6.62,10877,13275
8.10,-2.00,5.44,14725,12704
7.08,1.72,-6.98,2247,12088
-5.86,-0.04,-7.86,5929,11623
-8.45,0.78,4.37,9566,11085
3.10,4.70,8.11,13240,10258
9.76,-1.41,-2.10,828,9634
-0.84,-7.90,-5.63,4496,9091
-9.54,-0.76,-0.26,8038,8135
-2.72,9.44,-0.75,11640,7299
9.28,3.08,-2.69,15417,5575
5.09,-5.03,6.71,2827,5147
-7.23,-2.47,5.69,6343,4469
-7.60,1.04,-6.04,10048,3849
5.60,-0.01,-8.32,13968,3349
8.68,1.32,4.86,1533,2930
-3.54,1.77,8.79,5191,2942
-9.29,-0.59,-2.51,8887,2931
1.24,-1.55,-9.72,12653,3008
10.07,0.21,0.75,471,3939
1.26,-5.06,8.17,4063,4910
-9.17,-1.91,1.80,7610,5462
-3.89,6.81,-6.03,11424,5689
9.02,3.59,-2.92,15550,5735
5.58,-6.70,4.50,2942,6021
-6.93,-6.08,2.42,6508,6480
-7.52,5.61,-2.61,10227,6444
