accel_x,accel_y,accel_z,encoder_a,encoder_b
-3.57,-5.31,7.12,5121,5242
-8.38,-1.66,4.20,6903,4469
-6.36,-0.59,-7.39,10436,3376
7.26,-1.54,-6.76,14409,2909
7.76,2.15,5.94,1842,2820
-4.03,6.73,5.73,5343,1247
-9.57,0.83,-0.38,8122,14822
-5.62,-2.43,7.32,10768,12332
2.83,6.62,6.79,13197,9546
9.09,4.00,-2.06,15307,6091
10.09,0.22,-0.47,16252,2327
8.84,4.91,-0.57,1247,15318
4.42,0.80,-8.96,2947,11599
0.65,-9.45,-2.10,4029,7890
-0.25,-4.23,8.68,4212,4488
-2.36,7.68,5.57,4712,861
-4.24,5.59,-6.97,5235,13227
-5.59,-5.70,-5.49,5667,9194
-5.32,-6.49,4.53,5625,5641
-3.80,3.63,8.11,5052,2106
-1.97,9.22,-3.05,4460,14621
-0.82,-3.36,-9.22,4303,10378
-0.63,-9.42,1.87,4324,6755
-1.31,-0.28,9.59,4481,3316
-0.67,9.73,1.55,4166,15930
3.69,2.20,-9.07,3030,11947
8.50,-4.59,-2.50,1483,8437
10.00,-0.69,0.95,236,4999
9.97,-0.71,-1.32,15826,1196
7.00,-6.32,2.91,14012,14344
-0.79,-0.22,9.66,11829,11457
-8.92,2.96,1.96,8928,8787
-7.31,-5.53,2.58,6144,6142
4.01,-4.95,7.43,2887,4826
9.77,0.86,-2.49,15493,3913
-2.29,0.30,-9.62,11434,3414
-9.55,0.04,0.66,7736,2791
-0.98,1.75,9.51,4092,2903
9.76,0.81,2.42,372,2844
3.67,-6.24,-6.72,12925,1217
-7.45,-5.93,-0.92,9638,15843
-8.58,3.52,-2.88,6626,13798
1.89,1.60,-9.68,3380,11785
10.03,-0.08,-1.17,72,10211
2.71,7.70,5.62,12803,9018
-8.14,5.16,-1.26,9499,6740
-7.93,-2.61,4.57,6508,4513
1.12,3.09,9.22,3714,2446
9.76,2.39,1.20,338,547
3.77,-8.98,-0.66,12929,15662
-7.57,-5.10,2.70,9580,14159
-7.68,2.42,-5.52,6213,12500
3.42,-3.48,-8.64,3040,10288
10.09,0.27,-0.27,16245,8565
2.65,9.43,-2.09,12847,6744
-8.49,2.65,-3.92,9327,4813
-6.74,-0.48,6.74,5993,3414
5.07,3.29,7.88,2636,2266
9.92,-1.49,-0.99,15569,190
1.47,-8.74,3.83,12335,14369
-8.07,-2.03,4.62,9365,12354
-7.72,-3.19,-4.86,6320,9774
3.05,-8.91,-2.57,3191,7937
10.08,0.19,-0.13,16239,6492
1.56,5.26,-8.39,12554,4611
-8.85,-0.37,-3.89,9063,2994
-5.09,1.41,8.03,5273,2761
7.40,3.74,5.64,1672,1687
7.46,-4.52,-4.85,14120,1038
-5.52,-6.63,-4.32,10213,611
-8.69,2.38,3.28,6638,1797
2.14,0.09,9.55,3295,3344
10.10,0.23,0.16,16103,4154
0.48,3.63,-9.30,12062,4196
-9.26,2.24,-1.48,8583,6054
-4.31,-8.34,1.76,5084,6796
7.94,-5.91,-0.88,1516,7593
6.78,7.43,0.65,13954,7598
-6.99,6.70,0.77,9935,7645
-8.37,-3.88,-2.65,6547,8967
0.26,-1.90,-9.70,3795,11107
7.63,5.75,-3.32,1506,14360
9.17,-3.60,-1.78,14909,380
0.46,-2.45,-9.57,12117,2756
-8.31,3.68,-3.43,9321,5649
-8.00,-5.07,-1.37,6460,8100
