accel_x,accel_y,accel_z,encoder_a,encoder_b
-4.68,-7.56,3.48,5435,6373
-4.97,-7.39,3.42,5577,6367
-7.00,-5.86,2.73,6294,6339
-9.04,-2.62,1.51,7445,5900
-9.19,1.48,-2.56,9040,4876
-5.68,1.44,-7.89,10769,3802
-0.11,-2.93,-9.43,12287,2554
6.14,-5.22,-5.81,14065,1304
9.37,-3.27,-1.45,15399,197
9.95,1.78,-0.22,453,15388
8.14,4.93,-3.45,1637,13954
5.29,2.66,-8.14,2710,12164
1.18,-4.29,-8.81,3885,10228
-2.35,-8.02,-4.93,4855,8701
-5.44,-7.86,0.28,5737,7239
-7.34,-4.99,3.42,6435,5702
-9.39,-0.76,1.61,7680,4243
-9.39,-0.63,-2.01,8710,2540
-7.21,-5.27,-3.64,10054,759
-4.48,-8.46,-0.14,10947,15522
-2.13,-7.57,5.48,11617,13930
-0.65,-3.13,9.12,12031,12287
0.82,3.59,9.07,12446,10525
2.50,8.46,4.53,12929,8607
4.05,8.58,-3.32,13392,6371
6.11,3.61,-7.19,14030,4316
7.43,-2.14,-6.39,14380,2295
7.86,-5.20,-3.26,14549,451
8.75,-4.72,0.79,14878,15098
8.46,-3.21,4.16,14752,13168
7.96,0.54,6.01,14557,11350
7.65,4.55,4.67,14474,9470
7.02,7.23,0.38,14276,7515
5.58,6.79,-4.97,13722,5602
1.27,1.44,-9.79,12505,3569
-2.56,-4.13,-8.51,11367,2007
-6.68,-5.80,-3.81,10103,649
-8.49,-4.34,-0.25,9206,15563
-9.36,-1.61,0.99,8559,13906
-9.59,-0.07,-0.19,8008,11879
-9.55,-0.57,-0.85,7837,9894
-9.28,-2.25,-0.80,7416,7996
-8.68,-3.66,1.47,6994,6211
-7.12,-3.53,5.24,6047,4495
-4.81,0.50,8.29,5373,2900
-1.98,6.24,7.24,4365,1165
2.24,9.37,2.49,3275,16076
6.73,7.29,-1.93,1849,14600
9.73,2.14,-1.87,386,13326
9.51,-0.91,3.10,15112,12276
5.76,0.30,8.06,13608,11317
0.15,4.55,8.66,11984,9990
-5.53,6.41,4.70,10413,8865
-9.16,2.87,0.71,8658,7860
-8.95,-3.35,0.23,6982,6935
-5.17,-7.40,3.08,5324,6161
1.17,-7.73,5.68,3649,5652
7.48,-5.13,3.98,1638,5585
10.08,0.17,0.07,16159,4970
7.65,3.12,-5.83,14193,4355
0.61,2.52,-9.64,12159,3854
-5.85,0.61,-7.85,10252,3399
-9.31,0.04,-1.97,8386,3399
-8.01,-0.50,5.15,6330,3462
-2.48,-0.98,9.26,4558,3526
4.16,-0.99,8.85,2730,3585
9.19,-0.22,4.00,878,3581
9.64,0.71,-2.95,15280,3584
4.03,1.39,-9.07,13078,3590
-3.09,2.21,-9.14,11101,3966
-8.36,2.45,-4.33,9288,4726
-9.42,-1.16,1.05,7407,5294
-6.14,-6.20,3.81,5743,5940
-0.39,-9.15,3.02,4016,6470
6.42,-7.27,1.71,2156,6743
9.71,-2.53,-0.59,483,7821
9.39,3.32,1.72,15202,8927
5.63,4.32,6.98,13578,10276
0.85,0.20,9.71,12154,11652
-4.17,-4.78,7.15,10814,13157
-7.67,-5.08,2.49,9628,14467
-9.03,-3.16,-0.42,8783,16048
-9.46,1.19,1.07,7524,1244
-8.48,0.80,4.33,6725,3003
-5.50,-4.06,6.64,5571,4843
-2.89,-8.30,3.78,4840,6438
-0.08,-9.49,-1.96,4114,7979
1.49,-6.78,-6.95,3666,9579
5.35,-0.70,-8.43,2468,11344
7.60,3.79,-5.51,1747,13245
8.94,4.63,-1.08,1022,15167
10.09,0.45,-0.08,16215,380
9.70,-1.14,-2.45,15503,1979
8.16,0.34,-5.92,14588,3527
