accel_x,accel_y,accel_z,encoder_a,encoder_b
8.62,-4.46,-1.39,14936,991
3.56,-8.24,3.91,13032,15331
-5.99,-1.51,7.61,10364,12835
-9.85,0.00,0.11,8015,9677
-7.17,-5.17,4.27,6062,6406
-2.11,2.37,9.28,4397,3409
4.61,8.67,0.33,2550,51
9.80,0.59,-0.73,16363,13366
7.70,4.24,4.42,14457,10381
-0.39,9.30,-3.16,12043,7330
-8.98,0.37,-4.12,9076,4495
-7.59,3.17,5.34,6094,2751
4.79,6.11,6.00,2520,2198
9.30,-3.16,-0.24,15248,274
-2.18,-8.97,3.24,11496,15584
-9.82,0.60,-0.44,7728,15262
-1.71,9.29,-2.64,4163,15880
9.49,2.56,-0.52,330,15974
2.85,-9.13,2.05,12745,15969
-9.00,-3.87,0.83,8938,15963
-5.26,8.14,-1.70,5229,16025
7.48,6.28,1.03,1563,612
6.71,-7.04,-1.14,13997,560
-6.67,-7.15,-1.01,10110,541
-8.26,5.16,1.37,6415,834
4.31,8.13,3.38,2714,1209
9.33,-2.77,-1.26,15207,1193
-2.18,-8.83,-3.68,11463,1209
-9.79,0.65,0.74,7584,2021
-1.07,4.59,8.58,4167,3045
9.38,0.54,2.92,634,4012
4.21,3.85,-8.02,13321,5450
-6.25,7.51,-1.09,10310,8228
-9.70,-1.34,-1.16,7608,10476
-1.06,-1.75,-9.64,4221,12027
9.20,1.73,-3.01,762,13672
5.38,-6.30,5.23,13346,14859
-7.24,-6.33,1.99,9705,15955
-8.53,4.41,2.03,6365,1414
3.63,6.99,5.86,2731,2157
9.42,-1.70,-2.18,15258,2407
-2.09,-5.10,-8.15,11429,2998
-9.83,-0.12,-0.63,8014,4940
-2.68,-6.43,6.89,4581,6318
8.62,-4.29,1.92,1114,7323
5.92,7.82,-0.42,13669,8470
-6.74,5.63,4.34,10014,10151
-8.74,-2.74,-3.66,6618,11077
0.10,2.42,-9.56,3750,13335
8.31,5.18,-0.94,1201,18
8.83,-2.63,-3.39,14940,2691
1.88,3.75,-8.90,12681,5596
-6.08,7.56,1.43,10465,9149
-9.37,0.02,2.94,8815,12524
-8.92,3.68,-2.08,6766,15556
-2.68,7.08,6.22,4467,2443
7.35,-0.09,6.53,1591,4666
8.45,3.28,-3.86,14698,6296
-1.30,9.60,1.41,11742,9083
-9.28,1.32,2.92,8833,11509
-7.36,2.20,-6.23,5971,13672
3.30,8.65,-3.26,2886,15891
9.62,-1.98,-0.01,15523,406
-1.66,-9.60,-1.02,11592,642
-9.85,0.07,0.11,7841,1210
-1.23,9.16,3.23,4158,1234
9.35,2.72,1.41,440,1817
3.66,-6.47,-6.40,12955,2416
-8.53,-3.07,-3.90,9246,2938
-6.46,-0.23,7.37,5689,4602
5.75,-3.18,7.30,2267,5639
9.49,2.45,-0.96,15497,7653
-1.68,9.37,2.32,11710,9312
-9.01,0.93,3.79,9107,12015
-8.42,3.08,-4.19,6509,14484
-2.61,8.65,3.78,4603,1582
5.77,0.54,7.95,2252,4532
9.84,-0.13,0.18,16288,7157
6.59,5.93,4.26,14024,10482
-3.58,-1.39,9.02,11112,13197
-9.84,-0.35,0.13,7977,14898
-3.77,9.05,0.35,4838,648
6.68,4.01,5.98,1929,3103
8.66,0.02,-4.63,14948,4495
-3.74,4.36,-8.03,11179,5916
-9.66,-1.69,0.82,7550,7295
-0.51,-9.26,3.13,4012,7762
9.62,-1.94,0.55,337,7926
2.46,9.43,1.05,12778,9013
-8.75,3.14,3.10,9206,10640
-6.26,-4.75,-5.96,5673,11105
4.94,0.68,-8.47,2511,12987
9.55,-1.65,1.60,15527,15113
0.66,-9.73,-0.86,12306,776
-8.89,-2.64,-3.39,9180,3028
-7.07,-2.22,6.41,6058,5406
4.71,-6.27,5.87,2744,6732
9.48,2.47,-1.02,15479,7719
-1.68,9.32,2.43,11516,9553
-9.81,0.45,0.67,8020,10765
-3.87,-2.87,-8.61,4743,12002
7.94,1.40,-5.62,1264,13491
7.22,-5.25,4.05,14084,15408
-3.87,-8.97,-1.01,10885,930
-9.64,1.63,1.14,7249,2039
