accel_x,accel_y,accel_z,encoder_a,encoder_b
7.75,4.07,4.89,1771,1943
5.79,-5.63,5.61,2586,5642
0.58,-8.79,-4.16,4060,8735
-7.66,-0.65,-5.98,6499,11466
-8.53,-3.34,2.58,9444,14172
-1.06,-9.27,-2.65,12049,229
8.90,-1.82,-4.35,15241,2404
5.98,-0.83,7.85,2642,3851
-6.71,-1.78,6.54,6253,4132
-7.73,1.22,-5.83,9961,4048
5.55,0.38,-8.36,13930,3528
8.65,0.20,5.02,1529,3529
-3.54,-0.19,8.94,5177,3531
-9.32,-0.07,-2.51,8843,3529
1.29,0.35,-9.87,12658,3538
10.08,0.33,0.31,269,3513
1.49,0.38,9.64,3916,3394
-9.22,0.51,2.48,7549,2852
-4.04,-2.15,-8.69,11255,2841
8.98,-0.67,-4.54,15247,2919
5.48,-0.51,8.20,2732,3713
-6.47,-3.65,5.99,6091,4901
-8.50,3.59,-3.09,9511,5850
2.76,9.58,0.07,13080,7656
10.03,-0.45,-0.87,286,9352
2.33,-3.49,-8.99,3637,10728
-8.73,0.49,-4.20,7095,12116
-5.86,-4.95,5.67,10589,13531
7.44,-5.14,4.06,14462,14147
7.41,5.74,-3.82,2161,14228
-5.55,7.88,-1.67,5862,15261
-8.50,-4.29,0.75,9558,15279
3.41,-8.94,1.80,13323,15239
9.80,2.38,-0.79,763,14880
-1.13,8.15,-5.58,4539,14123
-9.58,0.44,-0.57,8230,13881
-2.71,-3.63,8.45,11746,12710
8.99,0.79,4.38,15394,11333
7.20,-5.60,-3.97,2242,8826
-2.60,-8.81,2.75,5051,6611
-9.37,-0.75,1.74,7723,4137
-6.67,-5.18,-4.73,10383,1109
3.60,-8.98,1.26,13291,15198
9.94,-0.38,1.54,16002,12634
7.25,-4.54,-5.14,2167,9462
-2.26,-9.30,1.04,4867,7051
-8.45,-1.91,3.94,7067,4322
-7.67,-3.60,-4.67,9970,1504
-0.41,-9.40,2.06,12169,14927
7.08,-1.62,6.76,14406,12139
10.09,0.55,-0.11,16363,8580
9.79,-1.24,1.94,724,4863
8.19,4.13,4.12,1593,1292
4.52,7.53,-4.90,2843,13961
2.30,-5.12,-8.14,3515,9866
-3.38,-8.70,2.12,5105,6689
-8.37,-0.96,4.48,6900,3598
-9.07,-2.80,-1.47,9051,292
-5.58,-5.62,5.31,10635,13466
-3.73,4.59,7.66,11184,9926
-5.64,6.98,-4.02,10590,5887
-8.60,-1.83,-4.03,9200,2105
-8.68,4.14,0.73,6764,16044
