accel_x,accel_y,accel_z,encoder_a,encoder_b
-9.44,1.81,-2.21,7291,14649
-9.84,-0.47,0.02,8155,451
-9.02,-1.63,-3.71,9233,3741
-8.36,4.75,-2.22,9708,7728
-5.18,4.24,7.15,10877,11435
4.37,-4.98,7.22,13488,14467
9.81,-0.88,-0.05,16091,672
5.68,3.86,7.03,2469,3371
-4.45,-2.93,8.23,5436,5492
-9.85,-0.26,-0.00,8130,7953
-5.41,6.44,5.03,10907,10532
6.31,0.71,7.50,14197,12695
8.57,2.53,-4.11,1387,14201
-1.39,9.44,-2.29,4468,14
-9.63,1.72,0.99,7717,1894
-5.39,-4.42,-6.99,10807,3209
7.69,-0.84,-6.06,14667,4224
7.09,-2.32,6.38,2029,5598
-4.67,-5.29,6.79,5695,6515
-9.56,2.15,-1.14,9169,7674
2.44,9.49,-0.33,13228,8711
9.66,-1.81,-0.13,859,8763
0.15,-9.79,-0.22,4331,8760
-9.67,-1.86,-0.25,7912,9227
-3.10,8.78,3.03,11759,9631
9.38,2.72,1.23,15829,10000
4.30,-8.49,-2.31,3130,9255
